,Username,sentiment
310,Fu_Yu_0501,
311,G4LV1N,
312,G95Cristian,
313,GCcastillo121,
314,GDXALK,
315,GObianagha,
316,GRBATA,
317,GabriuskSouto,
318,Galaxy71900234,
319,GamerSaint4,
320,GaneshG_333,
321,Garkz34,
322,GarthwaitNancy,
323,GaryOdd,
324,GauravC46392832,
325,Gdczlmh,
326,GeForce256_,
327,Gedavray,
328,Gegeferreirah,
329,Geniusesque,
330,Gerardo46058322,
331,GhostPr41928109,
332,Gillstyle37,
333,GilsonL87672416,
334,Giripra47511912,
335,GiuliaSpinell15,
336,Glenn_dgb_,
337,Godwin04007441,
338,GoodDali1,
339,Gopal58547066,
340,GreenLight2006,
341,Greidys72394740,
342,GrizzyGzy,
343,GubaGergo17,
344,GuillemRecolons,
345,GundoRsa2,
346,GurcharansinghK,
347,GuruPrasaad14,
348,HAMZEHJOUDEH1,
349,HDDoone,
350,HRHAngie,
351,HYPERccx,
352,Hajii_j,
353,HamPolite,
354,Handsome_XiaoLu,
355,HariJanani2,
356,HarshilThamwal6,
357,HasaanIbrahin,
358,HeaTin3,
359,Heisenberg4222,
360,HildebrandTatum,
361,HiroakiYamada18,
362,Hsuehung,
363,HungkonK,
364,Hussienaraby7,
365,HustleNona,
366,HynxR6,
367,HyzShortiie,
368,INVINCIBLE_NOOR,
369,IRizwanhere,
370,I_mVeena,
371,IamRayJr__,
372,Iam_faizzan,
373,Iam_urdestiny21,
374,Iamaboutanut,
375,Ibarros12,
376,IbimsDan,
377,IbsgleyA,
378,Ichigo1940,
379,Iftekhar1Aman,
380,IkerAkaAries,
381,ImoleTacashy,
382,Indroshaoskin,
383,Influenza1023,
384,IoStracciatella,
385,Ioringozoo,
386,IsCiou,
387,IsaiahR90132762,
388,IslamAhmed54,
389,ItsanshTiwari,
390,ItzAlex34361059,
391,Ivanfsiarnny7,
392,IvyMobouck,
393,JChaleamchai,
394,JDogs97,
395,JLawrence55,
396,JReddingJones,
397,JackieXX1996,
398,Jacquii12153280,
399,JamieJo82302214,
400,JanSamith,
401,JashwanthMeruga,
402,JasnaGrbic,
403,Jason_Li_YY,
404,JasperVelde,
405,JavierMtzE,
406,Javkhaa2014,
407,JayaramKailas,
408,JeanPie64458796,
409,JeelaniMasroor,
410,Jeremia0597,
411,JeremyLeusden,
412,Jharkhandvasi1,
413,JigsPatel1121,
414,Jihad_A7med,
415,Joebrincks,
416,JohannesRauch73,
417,JohnsonWang2022,
418,JonathanSsekal5,
419,JonnySa98361167,
420,Jordan8329,
